GPIO Output,Trigger, Exposure Time, clock ticks per second=1000000
736447,736429,400
856736,856682,400
581413,581413,400
711260,711182,400
836046,835982,400
960636,960636,400
1086441,1086441,400
1208982,1208982,400
1332906,1332864,400
1454991,1454935,400
1576938,1576938,400
1700954,1700954,400
2258387,2258387,400
2382347,2382347,400
2506529,2506529,400
2632226,2632226,400
2756162,2756162,400
2880772,2880772,400
3003490,3003490,400
3127190,3127190,400
3251174,3251174,400
3374369,3374320,400
3929338,3929338,400
4054823,4054746,400
4178922,4178922,400
4301893,4301893,400
4424448,4424448,400
4547285,4547285,400
4668217,4668153,400
4786614,4786614,400
4910909,4910847,400
5020632,5020632,400
578487,578391,400
704692,704634,400
826386,826318,400
948469,948469,400
1072444,1072444,400
1195422,1195422,400
1319083,1319012,400
1441104,1441104,400
1560878,1560878,400
1687770,1687704,400
2243444,2243444,400
2364446,2364446,400
2487623,2487623,400
2610216,2610216,400
2735063,2735063,400
2858468,2858468,400
2981729,2981729,400
3104351,3104351,400
3228944,3228944,400
3353381,3353301,400
3905226,3905226,400
4031348,4031288,400
4156161,4156161,400
4280246,4280246,400
4405123,4405123,400
4530335,4530335,400
4655373,4655282,400
4773657,4773657,400
4893647,4893647,400
5017315,5017315,400
580277,580277,400
710828,710828,400
837367,837289,400
960909,960909,400
1085490,1085490,400
1209121,1209121,400
1326050,1326009,400
1447399,1447337,400
1569322,1569322,400
1693584,1693584,400
2251618,2251618,400
2378454,2378454,400
2503869,2503869,400
2630694,2630694,400
2753702,2753702,400
2876385,2876349,400
3000927,3000927,400
3126719,3126719,400
3250186,3250186,400
3376544,3376479,400
3934752,3934752,400
4057723,4057652,400
4184432,4184432,400
4306326,4306326,400
4421853,4421853,400
4545229,4545229,400
4669852,4669781,400
4794609,4794609,400
4919728,4919673,400
5044799,5044799,400
582564,582564,400
709982,709982,400
833931,833931,400
957916,957916,400
1083535,1083535,400
1211272,1211192,400
1338285,1338285,400
1464040,1464040,400
1588513,1588513,400
1713202,1713202,400
2274090,2274090,400
2395830,2395830,400
2519694,2519694,400
2642700,2642640,400
2769366,2769366,400
2894318,2894241,400
3019506,3019506,400
3143361,3143361,400
3268260,3268176,400
3393836,3393836,400
3951316,3951316,400
4078603,4078603,400
4204135,4204135,400
583298,583298,400
710384,710384,400
832603,832603,400
957425,957425,400
1068862,1068862,400
1192944,1192904,400
1319894,1319844,400
1445305,1445260,400
1569352,1569352,400
1697022,1696960,400
2257470,2257470,400
2378847,2378847,400
2503321,2503321,400
2626320,2626320,400
2749460,2749460,400
2873300,2873242,400
2995954,2995954,400
3119306,3119306,400
3243433,3243433,400
3365970,3365929,400
3921958,3921958,400
4048639,4048571,400
4173988,4173988,400
4299397,4299397,400
4422184,4422184,400
4545378,4545378,400
4668489,4668489,400
4791340,4791340,400
4914970,4914970,400
5037430,5037430,400
580483,580483,400
703477,703477,400
829192,829113,400
952022,952022,400
1077515,1077515,400
1203031,1203031,400
1327982,1327904,400
1453232,1453172,400
1578828,1578828,400
1705916,1705872,400
2266732,2266732,400
2390595,2390595,400
2519200,2519200,400
2642585,2642585,400
2767013,2767013,400
2892102,2892102,400
3014561,3014561,400
3138014,3138014,400
3260486,3260486,400
3384551,3384551,400
3941910,3941910,400
4065305,4065230,400
4189311,4189311,400
4312542,4312542,400
4434403,4434403,400
4555881,4555881,400
4677563,4677563,400
4803144,4803144,400
4930300,4930208,400
5053848,5053848,400
